species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Passer montanus,theil_sen,0.024649780933687377,0.006988271945310816,0.012899388291850652,0.0190794879664714,0.024069711625432068,0.02916612996171532,0.03990545850207514,1,0
Pycnonotus sinensis,theil_sen,0.023403881658696665,0.006217176059984137,0.011342823662794677,0.01898043686970402,0.023151665509525632,0.027461498487720663,0.03496525989802823,1,0
Hirundo rustica,theil_sen,0.02808584325457155,0.00713330648525774,0.015918621672370712,0.022915753445436917,0.028524009113942934,0.03316112756822327,0.04273357995324469,1,0
Spilopelia chinensis,theil_sen,0.04647803998092174,0.0066115172840320565,0.03534565475040297,0.04183917636901574,0.04629019948187598,0.05069609162315122,0.06085572205488309,1,0
Pica serica,theil_sen,0.07240228103077098,0.007127655279336679,0.05723626756590771,0.06838343693251489,0.07231801286653303,0.07793120852943246,0.08538942032113442,1,0
Motacilla alba,theil_sen,0.007769086339453237,0.0054615735028829306,-9.956454285412887e-4,0.0035983310877056008,0.007280003229927508,0.01157742440167699,0.018669867710357037,0.95,0.05
Turdus mandarinus,theil_sen,0.02657332050939326,0.0066508191321342095,0.01272010892781063,0.022206547205639846,0.026722161329837055,0.0308453851893393,0.03957810807601635,1,0
Egretta garzetta,theil_sen,0.03900389662188837,0.009874794956835261,0.01899752878310052,0.03254191604417345,0.038099887721459745,0.04598751204077214,0.05941274969770219,1,0
Parus minor,theil_sen,0.013545737077107064,0.008354426456019016,-0.005086530554095088,0.007729797807512553,0.014003116763713706,0.019971527001263725,0.027220892573331434,0.95,0.05
Cyanopica cyanus,theil_sen,0.021104255006697846,0.007313029943107518,0.006713622866094587,0.015068958306685363,0.02159094357438701,0.026068496787508437,0.034850791040903065,1,0
Streptopelia orientalis,theil_sen,0.026149204550609716,0.013167321849803983,-4.894611417387393e-4,0.01810404182083572,0.02617006472679886,0.034346059283484914,0.05311146022138322,0.965,0.035
Tachybaptus ruficollis,theil_sen,0.060138664135947616,0.011011872719290544,0.040548319131685474,0.05249920740594924,0.05953754778993066,0.06814093709381969,0.08031203835236478,1,0
Nycticorax nycticorax,theil_sen,0.057737688793568526,0.010822889625157185,0.03795052626455769,0.05133493611540299,0.05745928345754799,0.06327954124341115,0.07812108014321542,1,0
Gallinula chloropus,theil_sen,0.06701135531935565,0.012814685393599316,0.04336460524799435,0.059641627813529434,0.06669702738071107,0.07473532708069788,0.09031505640307161,1,0
Sinosuthora webbiana,theil_sen,0.02757728169779591,0.007295547061505705,0.014422195300192842,0.02249976854880588,0.027353519743715658,0.032494382147024846,0.04175277344228889,1,0
Chloris sinica,theil_sen,0.010005980529412959,0.006155596646930393,-0.0017282035119548108,0.005732554361983912,0.009643777472702559,0.014310068531800807,0.02150670570118164,0.95,0.05
Cecropis daurica,theil_sen,3.712558708972645e-5,0.00731671975046831,-0.013106448608091476,-0.0046698331848830515,-4.4476593720971236e-4,0.005206784143788695,0.01471799410791152,0.48,0.52
Acridotheres cristatellus,theil_sen,0.017766350543320805,0.007001489666417672,0.0041940085388874,0.0132510254800515,0.018013821912200568,0.021843696011746405,0.030875213954004232,1,0
Ardeola bacchus,theil_sen,0.015008084262640786,0.008357752392825208,-0.0010787226686305009,0.009461590914885097,0.014836505520113476,0.020501210095343194,0.03083514038477867,0.965,0.035
Copsychus saularis,theil_sen,0.011614287937353708,0.004184604238594326,0.0025872689830526655,0.008619957759953924,0.011381188177578494,0.014861382891367115,0.020215491009099813,1,0
