species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Passer montanus,theil_sen,0.024902108302817118,0.00695534696397685,0.013024816000994303,0.019811218813224764,0.024780573236715016,0.02916612996171532,0.04046876130556826,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Pycnonotus sinensis,theil_sen,0.023467781998621696,0.006023085565287131,0.011349241202533604,0.019333154290978594,0.02351349291680111,0.02746889819141357,0.03504427622399059,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Hirundo rustica,theil_sen,0.028579872271692407,0.0073773380742549926,0.015257535230356825,0.022947782249130362,0.029119301387385204,0.03374148803723284,0.042733579953244685,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Spilopelia chinensis,theil_sen,0.04681988365137539,0.006440840869290124,0.03534829457729317,0.04205964551675265,0.046712077567866495,0.05092958556232604,0.05933703764269871,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Pica serica,theil_sen,0.07172795006820762,0.007586586642859163,0.05649105272740956,0.06669032771718819,0.07201217546705188,0.07710049245359817,0.08617297099900488,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Motacilla alba,theil_sen,0.007821986217068118,0.005415445371499252,-0.0010118622271476036,0.0038287539162270567,0.0070755468830897075,0.011322835466947161,0.018820944481529926,0.9525,0.0475,expanding,expanding,10,1,0.02748633611151034
Turdus mandarinus,theil_sen,0.02629555666748831,0.0066014131101062145,0.011723215389144675,0.02222157482782952,0.02636074667467742,0.030857725414578124,0.039301492611645394,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Egretta garzetta,theil_sen,0.03891836926091709,0.009662639433176228,0.01866384793666285,0.0324807579385977,0.03842825571023223,0.045950555725026876,0.05821870911818951,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Parus minor,theil_sen,0.013363947497524334,0.008083734878437812,-0.0034803315804078656,0.007851511909681818,0.01367359681955159,0.018987643967262803,0.027984885869323028,0.9475,0.0525,stable,stable,6,0.6,0.2206713619198468
Cyanopica cyanus,theil_sen,0.021724440284457767,0.007191923667676852,0.007875974107223706,0.016758837004788894,0.022188121260846624,0.02651861175237218,0.03494317639413425,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Streptopelia orientalis,theil_sen,0.02537725867183705,0.01309528402230174,5.737321835114286e-4,0.01610436316916514,0.025128540786915593,0.033749270338973306,0.051949113194867835,0.975,0.025,expanding,expanding,8,0.8,0.08641073297370003
Tachybaptus ruficollis,theil_sen,0.05995892957008525,0.010629691789173402,0.04030807192966782,0.05261088499003262,0.0594785428407787,0.06714183027236752,0.0793263669252713,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Nycticorax nycticorax,theil_sen,0.057502064608214096,0.011276395908792555,0.035397934217947374,0.05038489997459655,0.05733026758295434,0.06404854204856433,0.07812108014321541,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Gallinula chloropus,theil_sen,0.06713404968326424,0.01242695909308428,0.04336460524799435,0.0598786791573719,0.06690633983977336,0.07491756235836611,0.09004515646238923,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Sinosuthora webbiana,theil_sen,0.027919859526823628,0.0074011236358825176,0.01271483346830508,0.02295746418076111,0.028525028408767257,0.032797193471700514,0.04170103964585135,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Chloris sinica,theil_sen,0.01004275204707235,0.006135803518017077,-0.0013072408257982322,0.005896127240935092,0.009510025614574447,0.014248034834804073,0.022727386896298624,0.955,0.045,expanding,expanding,8,0.8,0.08641073297370003
Cecropis daurica,theil_sen,-6.357988633352222e-5,0.0072831067999056,-0.013736861402401176,-0.004864227979147817,-2.2382789341666293e-4,0.004978062805968067,0.014460907757839194,0.4875,0.5125,stable,stable,0,0,1
Acridotheres cristatellus,theil_sen,0.01795706111585599,0.007114216838128824,0.004205520547018818,0.01328542082339482,0.01771680206615473,0.022232385964465806,0.03265339625999184,0.995,0.005,expanding,strong_expanding,6,0.6,0.2206713619198468
Ardeola bacchus,theil_sen,0.014782619893414471,0.008580892353729318,-0.0019562744233714473,0.009057013103925864,0.014690404782137886,0.020200438366805476,0.03089581402829007,0.9675,0.0325,expanding,expanding,6,0.6,0.2206713619198468
Copsychus saularis,theil_sen,0.011313461540772361,0.0040688254119640435,0.003300208174158305,0.008401008414794325,0.011158975564401045,0.014045609057904238,0.020200978312249852,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Ardea cinerea,theil_sen,0.061641227908808105,0.010679348090438617,0.042476121364244286,0.05488090097191939,0.06089172587408238,0.06791659364923922,0.08383347083530904,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Anas platyrhynchos,theil_sen,0.048700433408592744,0.010529487515541051,0.029648482948332687,0.04130977235206751,0.04786769258522856,0.05533654749252964,0.07223603157321193,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Lanius schach,theil_sen,0.02743045629833114,0.005523312773922601,0.017079860326660246,0.023662299886886697,0.02753085277671527,0.031475404594036735,0.037710615099078346,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Spodiopsar cineraceus,theil_sen,0.062246361645840444,0.010202318270823399,0.04381969812105275,0.05517429825529317,0.06218616336094888,0.0689486292440068,0.0827226060343649,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Alcedo atthis,theil_sen,0.017104781127878815,0.008079699069445799,0.0015439760083656438,0.012130600962952993,0.017148325099354045,0.022346129377880438,0.03346052166045357,0.9875,0.0125,expanding,expanding,8,0.8,0.08641073297370003
Anas zonorhyncha,theil_sen,0.04128827368339198,0.011647541794822695,0.018209436594926236,0.0338141826733219,0.04131769741352013,0.04902783011848704,0.06517919980496727,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Phasianus colchicus,theil_sen,0.04966357686285207,0.009089466597715276,0.029092182182133542,0.04422695591973762,0.05048519365899186,0.05568149876090331,0.06547750982211625,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Zosterops simplex,theil_sen,0.010522813000489628,0.005634423567153636,-0.0014570655623110074,0.006704017604300724,0.010773991202743857,0.014223220006550095,0.020764975416619966,0.965,0.035,expanding,expanding,4,0.4,0.4624327264504763
Cuculus canorus,theil_sen,0.036902456918044176,0.008458695102964018,0.020050903644034865,0.030939676683503774,0.03685122499668186,0.042708620733940356,0.052900669692142424,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Corvus macrorhynchos,theil_sen,0.025719691847330556,0.015858517245548154,-0.006864335627816133,0.014012080829973182,0.026485927815347744,0.03675274568442004,0.05265330388358953,0.9375,0.0625,stable,stable,4,0.4,0.4624327264504763
Upupa epops,theil_sen,0.037186669342119893,0.00801474776176408,0.022230722650545022,0.0317300076839183,0.03686710394768894,0.042595216994676194,0.052882121802518514,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Dendrocopos major,theil_sen,0.011871938926782968,0.0121375082455996,-0.011387558259025649,0.0036709305944223245,0.012433665818776371,0.020594857546409176,0.03561312775613739,0.8325,0.1675,stable,stable,6,0.6,0.2206713619198468
Spodiopsar sericeus,theil_sen,0.03886431666359539,0.007836467493228791,0.023771407546546403,0.03384967917188195,0.038851716518828586,0.04418384794405045,0.05366858732204906,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Dicrurus macrocercus,theil_sen,-0.00562915857017461,0.006655684517232697,-0.019561632364848584,-0.010246962804521852,-0.005072508392702894,-0.0011716523929328829,0.006830457253250137,0.1975,0.8025,stable,stable,-6,-0.6,0.2206713619198468
Spizixos semitorques,theil_sen,0.029018952097261578,0.005747950015088804,0.018424454809269207,0.02514858501607085,0.02895934449014026,0.03290723948908089,0.040028582056770956,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Phoenicurus auroreus,theil_sen,0.004728220945161741,0.006917821194865647,-0.009636916401535328,-5.4850423783062846e-5,0.00483370610180172,0.00937549180272375,0.01692945340820839,0.7475,0.2525,stable,stable,4,0.4,0.4624327264504763
Ardea alba,theil_sen,0.028735846643482735,0.012281933432174886,0.0024451020562545433,0.021231195061625963,0.028868465018779838,0.03716079013288469,0.051279128942749844,0.985,0.015,expanding,expanding,8,0.8,0.08641073297370003
Himantopus himantopus,theil_sen,0.07544087740969901,0.011270556145680049,0.05301884315169867,0.06872353604573961,0.07604913675405185,0.08244146879493947,0.09688591180818563,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Urocissa erythroryncha,theil_sen,0.04492261030232061,0.014299973567793185,0.014712556563216751,0.035813193548856245,0.045771150555751774,0.05523707539763087,0.07038794316499063,0.995,0.005,expanding,strong_expanding,10,1,0.02748633611151034
Aegithalos concinnus,theil_sen,0.010445570980213634,0.0060536690746585565,-9.002070858357135e-4,0.006421168093263754,0.010839537915584996,0.01463276204005002,0.021884840506761555,0.96,0.04,expanding,expanding,10,1,0.02748633611151034
Lanius cristatus,theil_sen,0.003929090874414779,0.007380758013493787,-0.010806347654422238,-9.904156545108775e-4,0.004228125858724868,0.008790009121739877,0.01831559098935715,0.7225,0.2775,stable,stable,2,0.2,0.8064959405073402
Fulica atra,theil_sen,0.10823427540250338,0.013503056209527875,0.08264842454933233,0.09778634984637632,0.10872812830323866,0.11818523581651352,0.13435532477869053,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Horornis fortipes,theil_sen,0.01682565972092447,0.007779598956955925,0.0036632255116166995,0.01161135132658449,0.016096021296675478,0.02209096060850763,0.03249071623966959,0.99,0.01,expanding,expanding,8,0.8,0.08641073297370003
Eophona migratoria,theil_sen,0.014224615442248801,0.011186932434492033,-0.008136621521331357,0.006715552912402987,0.014847617467598231,0.02249020967335586,0.03464281316753469,0.885,0.115,stable,stable,6,0.6,0.2206713619198468
Podiceps cristatus,theil_sen,0.06262411686854213,0.012822730440421164,0.036614467430483966,0.054290938778563815,0.06308299314512136,0.07045458662082917,0.08680022748256891,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Picus canus,theil_sen,0.002619582478139875,0.014964791526645201,-0.026107912193613067,-0.007407049125103423,0.003303660758209155,0.013177722282123168,0.0318470970704642,0.585,0.415,stable,stable,-2,-0.2,0.8064959405073402
Phylloscopus inornatus,theil_sen,0.029946293109388303,0.00800713180886089,0.015461397880885554,0.024876675856985768,0.030087915506937252,0.03496608370511456,0.04540417238258774,1,0,expanding,strong_expanding,10,1,0.02748633611151034
